NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  15 IPTER    19.35 10 2024 10 2024                                                                                                                                                                     
  15 IPTER    18.33 11 2024 11 2024                                                                                                                                                                     
  15 IPTER    16.94 12 2024  1 2025                                                                                                                                                                     
  15 IPTER    12.50  2 2025  2 2025                                                                                                                                                                     
  15 IPTER    18.55  3 2025  3 2025                                                                                                                                                                     
  15 IPTER    19.17  4 2025  4 2025                                                                                                                                                                     
  15 IPTER    13.71  5 2025  5 2025                                                                                                                                                                     
  15 IPTER    18.33  6 2025  6 2025                                                                                                                                                                     
  15 IPTER    19.35  7 2025  7 2025                                                                                                                                                                     
  15 IPTER    17.74  8 2025  8 2025                                                                                                                                                                     
  15 IPTER    15.00  9 2025  9 2025                                                                                                                                                                     
  15 IPTER    20.16 10 2025 10 2025                                                                                                                                                                     
  15 IPTER    17.50 11 2025 11 2025                                                                                                                                                                     
  15 IPTER    16.94 12 2025                                                                                                                                                                             
  15 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
 236 POTEF   565.50  8 2023          MARLIM AZUL                                                                                                                                                        
 236 GTMIN   420.84 11 2023  4 2024                                                                                                                                                                     
 236 GTMIN   420.84 11 2024  4 2025                                                                                                                                                                     
 236 GTMIN   420.84 11 2025                                                                                                                                                                             
 110 POTEF   572.10  9 2021          N.PIRATINING                                                                                                                                                       
 110 FCMAX    95.37  9 2021 10 2021                                                                                                                                                                     
 110 FCMAX    97.88 11 2021 12 2021                                                                                                                                                                     
 110 FCMAX    97.00  1 2022 12 2024                                                                                                                                                                     
 110 FCMAX    65.51  1 2025                                                                                                                                                                             
 110 IPTER    13.10  1 2022  1 2022                                                                                                                                                                     
 110 IPTER    16.85  2 2022  2 2022                                                                                                                                                                     
 110 IPTER     1.09  3 2022  3 2022                                                                                                                                                                     
 110 IPTER     0.00  4 2022 12 2022                                                                                                                                                                     
 110 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
 171 POTEF   400.00  9 2021          NORTEFLU-1                                                                                                                                                         
 171 FCMAX    69.62  9 2021  9 2021                                                                                                                                                                     
 171 GTMIN   278.46  9 2021  9 2021                                                                                                                                                                     
 171 FCMAX   100.00 10 2021                                                                                                                                                                             
 171 GTMIN   400.00 10 2021                                                                                                                                                                             
 171 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
 172 POTEF   100.00  9 2021          NORTEFLU-2                                                                                                                                                         
 172 FCMAX    60.13  9 2021  9 2021                                                                                                                                                                     
 172 FCMAX   100.00 10 2021                                                                                                                                                                             
 172 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
 173 POTEF   200.00  9 2021          NORTEFLU-3                                                                                                                                                         
 173 FCMAX    43.33  9 2021  9 2021                                                                                                                                                                     
 173 FCMAX   100.00 10 2021                                                                                                                                                                             
 173 IPTER     0.00  1 2022  3 2022                                                                                                                                                                     
 173 IPTER    10.00  4 2022  4 2022                                                                                                                                                                     
 173 IPTER     0.00  5 2022  9 2022                                                                                                                                                                     
 173 IPTER     9.68 10 2022 10 2022                                                                                                                                                                     
 173 IPTER     0.00 11 2022 12 2022                                                                                                                                                                     
 173 IPTER     0.00  1 2024  8 2024                                                                                                                                                                     
 173 IPTER   100.00  9 2024  9 2024                                                                                                                                                                     
 173 IPTER    93.55 10 2024 10 2024                                                                                                                                                                     
 173 IPTER     0.00 11 2024  4 2025                                                                                                                                                                     
 173 IPTER    74.19  5 2025  5 2025                                                                                                                                                                     
 173 IPTER     0.00  6 2025 10 2025                                                                                                                                                                     
 173 IPTER    76.67 11 2025 11 2025                                                                                                                                                                     
 173 IPTER     0.00 12 2025                                                                                                                                                                             
 173 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
 174 POTEF   126.78  9 2021          NORTEFLU-4                                                                                                                                                         
 174 FCMAX    43.07  9 2021  9 2021                                                                                                                                                                     
 174 FCMAX    99.38 10 2021 12 2021                                                                                                                                                                     
 174 FCMAX   100.00  1 2022                                                                                                                                                                             
 174 IPTER     0.00  1 2022  3 2022                                                                                                                                                                     
 174 IPTER   100.00  4 2022  4 2022                                                                                                                                                                     
 174 IPTER     0.00  5 2022  9 2022                                                                                                                                                                     
 174 IPTER   100.00 10 2022 10 2022                                                                                                                                                                     
 174 IPTER     0.00 11 2022  3 2023                                                                                                                                                                     
 174 IPTER    73.33  4 2023  4 2023                                                                                                                                                                     
 174 IPTER     0.00  5 2023  8 2023                                                                                                                                                                     
 174 IPTER    33.33  9 2023  9 2023                                                                                                                                                                     
 174 IPTER     0.00 10 2023  2 2024                                                                                                                                                                     
 174 IPTER    32.26  3 2024  3 2024                                                                                                                                                                     
 174 IPTER     0.00  4 2024  8 2024                                                                                                                                                                     
 174 IPTER   100.00  9 2024 10 2024                                                                                                                                                                     
 174 IPTER     0.00 11 2024  4 2025                                                                                                                                                                     
 174 IPTER   100.00  5 2025  5 2025                                                                                                                                                                     
 174 IPTER     0.00  6 2025 10 2025                                                                                                                                                                     
 174 IPTER   100.00 11 2025 11 2025                                                                                                                                                                     
 174 IPTER     0.00 12 2025                                                                                                                                                                             
 174 TEIFT     0.00  9 2021 12 2021                                                                                                                                                                  
 229 POTEF    50.00  9 2021          ONCA PINTADA                                                                                                                                                       
