NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 156 IPTER     0.00  4 2024 12 2024  
 156 GTMIN 00210.00  4 2024 12 2027
  64 POTEF   248.57  8 2023          CANOAS
  64 FCMAX    97.80  8 2023  9 2023  
  64 TEIFT     0.00  8 2023  9 2023  
  64 FCMAX   100.00 10 2023          
 169 POTEF     4.00  8 2023          CISFRAMA
 169 FCMAX    75.00  8 2023  9 2023  
 169 TEIFT     0.00  8 2023  9 2023  
 169 GTMIN 00002.00  8 2023  9 2023
 169 FCMAX    90.00 10 2023          
 169 GTMIN 00001.70 10 2023 12 2027
  28 POTEF    20.00  8 2023          FIGUEIRA
  28 FCMAX    96.15  8 2023  8 2023  
  28 TEIFT     0.00  8 2023  9 2023  
  28 GTMIN    17.48  8 2023  8 2023
  28 FCMAX   100.00  9 2023  9 2023  
  28 GTMIN    18.00  9 2023  9 2023
  28 FCMAX    90.00 10 2023          
  28 GTMIN 00016.86 10 2023 12 2023
  28 GTMIN 00016.16  1 2024 12 2027
  26 POTEF   100.00  8 2023          J.LACERDA A1
  26 FCMAX    80.00  8 2023          
  26 TEIFT     0.00  8 2023  9 2023  
  26 GTMIN 00068.13 10 2023 12 2023
  26 IPTER     0.00  1 2024  5 2024  
  26 IPTER    48.33  6 2024  6 2024  
  26 GTMIN    35.20  6 2024  6 2024
  26 IPTER    33.87  7 2024  7 2024  
  26 GTMIN    45.05  7 2024  7 2024
  26 IPTER     0.00  8 2024 12 2024  
  26 GTMIN 00068.13  8 2024 12 2024
  26 GTMIN 00050.01  6 2025 12 2025
  26 GTMIN 00050.01  6 2026 12 2026
  26 GTMIN 00050.01  6 2027 12 2027
  27 POTEF   132.00  8 2023          J.LACERDA A2
  27 FCMAX    83.33  8 2023          
  27 TEIFT     0.00  8 2023  9 2023  
  27 GTMIN     4.05  8 2023  8 2023
  27 GTMIN 00097.88 10 2023 12 2023
  27 GTMIN 00079.04  6 2024 12 2024
  27 GTMIN 00079.04  6 2025 12 2025
  27 GTMIN 00079.04  6 2026 12 2026
  27 GTMIN 00079.04  6 2027 12 2027
  25 POTEF   262.00  8 2023          J.LACERDA B
  25 FCMAX    83.97  8 2023  8 2023  
  25 TEIFT     0.00  8 2023  9 2023  
  25 GTMIN     8.12  8 2023  8 2023
  25 FCMAX    44.80  9 2023  9 2023  
  25 FCMAX    83.97 10 2023          
  25 GTMIN    99.71 10 2023 10 2023
  25 GTMIN   142.93 11 2023 11 2023
  25 GTMIN   199.44 12 2023 12 2023
  25 IPTER     0.00  1 2024  8 2024  
  25 GTMIN 00199.44  6 2024  8 2024
  25 IPTER    50.00  9 2024 10 2024  
  25 GTMIN 00099.71  9 2024 10 2024
  25 IPTER    48.33 11 2024 11 2024  
  25 GTMIN   103.04 11 2024 11 2024
  25 IPTER     0.00 12 2024 12 2024  
  25 GTMIN   199.44 12 2024 12 2024
  25 GTMIN 00168.72  6 2025 12 2025
  25 GTMIN 00168.72  6 2026 12 2026
  25 GTMIN 00168.72  6 2027 12 2027
  24 POTEF   363.00  8 2023          J.LACERDA C
